[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://mmc-steel.ru/news/nadezhdinskij-metallur...-zavod-uvelichil-proizvodstvo-tovarnogo-prokata/  | ✓ | ⏱: 1.66s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/nadezhdinskij-metallur...-zavod-uvelichil-proizvodstvo-tovarnogo-prokata/  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/nadezhdinskij-metallur...-zavod-uvelichil-proizvodstvo-tovarnogo-prokata/  | ✓ | ⏱: 1.66s 
[FETCH]... ↓ https://mmc-steel.ru/news/osevaja-zagotovka-nade...etzavoda-sootvetstvuet-evropejskim-trebovanijam/  | ✓ | ⏱: 1.59s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/osevaja-zagotovka-nade...etzavoda-sootvetstvuet-evropejskim-trebovanijam/  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/osevaja-zagotovka-nade...etzavoda-sootvetstvuet-evropejskim-trebovanijam/  | ✓ | ⏱: 1.59s 
[FETCH]... ↓ https://mmc-steel.ru/news/politika-mz-elektrosta...j-bezopasnosti-opasnyh-proizvodstvennyh-obektov/  | ✓ | ⏱: 1.76s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/politika-mz-elektrosta...j-bezopasnosti-opasnyh-proizvodstvennyh-obektov/  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/politika-mz-elektrosta...j-bezopasnosti-opasnyh-proizvodstvennyh-obektov/  | ✓ | ⏱: 1.77s 
[FETCH]... ↓ https://mmc-steel.ru/news/politika-v-oblasti-ohrany-truda-mz-elektrostal-tyumeni/                    | ✓ | ⏱: 1.64s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/politika-v-oblasti-ohrany-truda-mz-elektrostal-tyumeni/                    | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/politika-v-oblasti-ohrany-truda-mz-elektrostal-tyumeni/                    | ✓ | ⏱: 1.65s 
[FETCH]... ↓ https://mmc-steel.ru/news/politika-v-oblasti-ohrany-truda-ooo-ugmk-stal/                             | ✓ | ⏱: 1.64s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/politika-v-oblasti-ohrany-truda-ooo-ugmk-stal/                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/politika-v-oblasti-ohrany-truda-ooo-ugmk-stal/                             | ✓ | ⏱: 1.64s 
[FETCH]... ↓ https://mmc-steel.ru/news/proekt_mini_tec/                                                           | ✓ | ⏱: 1.63s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/proekt_mini_tec/                                                           | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/proekt_mini_tec/                                                           | ✓ | ⏱: 1.64s 
[FETCH]... ↓ https://mmc-steel.ru/news/rabotniki-nadezhdinsko...k-professionalnomu-prazdniku-muzykalnyj-podarok/  | ✓ | ⏱: 1.55s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/rabotniki-nadezhdinsko...k-professionalnomu-prazdniku-muzykalnyj-podarok/  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/rabotniki-nadezhdinsko...k-professionalnomu-prazdniku-muzykalnyj-podarok/  | ✓ | ⏱: 1.56s 
[FETCH]... ↓ https://mmc-steel.ru/news/rekonstrukcia_gazootchistki/                                               | ✓ | ⏱: 1.76s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/rekonstrukcia_gazootchistki/                                               | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/rekonstrukcia_gazootchistki/                                               | ✓ | ⏱: 1.77s 
[FETCH]... ↓ https://mmc-steel.ru/news/sootvetstvie-mezhdunar...odtverdil-nadezhdinskij-metallurgicheskij-zavod/  | ✓ | ⏱: 1.72s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/sootvetstvie-mezhdunar...odtverdil-nadezhdinskij-metallurgicheskij-zavod/  | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/sootvetstvie-mezhdunar...odtverdil-nadezhdinskij-metallurgicheskij-zavod/  | ✓ | ⏱: 1.73s 
[FETCH]... ↓ https://mmc-steel.ru/news/v-shadrinske-modernizirovali-teplovoz-metzavoda/                           | ✓ | ⏱: 1.72s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/v-shadrinske-modernizirovali-teplovoz-metzavoda/                           | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mmc-steel.ru/news/v-shadrinske-modernizirovali-teplovoz-metzavoda/                           | ✓ | ⏱: 1.72s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://mmc-steel.ru/news/?tag=УМК-Сталь                                                             | ✓ | ⏱: 4.87s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?tag=УМК-Сталь                                                             | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://mmc-steel.ru/news/?tag=УМК-Сталь                                                             | ✓ | ⏱: 4.91s 
[FETCH]... ↓ https://mmc-steel.ru/news/?tag=ЭСТ                                                                   | ✓ | ⏱: 4.91s 
[SCRAPE].. ◆ https://mmc-steel.ru/news/?tag=ЭСТ                                                                   | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://mmc-steel.ru/news/?tag=ЭСТ                                                                   | ✓ | ⏱: 4.93s 
[FETCH]... ↓ https://mmc-steel.ru/news/?tag=НМЗ                                                                   | ✓ | ⏱: 4.93s 
