[INIT].... → Crawl4AI 0.9.2 
[SCRAPE].. ◆ https://www.invicta.fr/es/produit/estufa-de-lena...erro-fundido-wilson-sobre-pedestal-conectable-2/  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invicta.fr/es/produit/estufa-de-lena...erro-fundido-wilson-sobre-pedestal-conectable-2/  | ✓ | ⏱: 1.71s 
[FETCH]... ↓ https://www.invicta.fr/es/sobre-nosotros/                                                            | ✓ | ⏱: 1.55s 
[SCRAPE].. ◆ https://www.invicta.fr/es/sobre-nosotros/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invicta.fr/es/sobre-nosotros/                                                            | ✓ | ⏱: 1.57s 
[FETCH]... ↓ https://www.invicta.fr/pt/contacto/                                                                  | ✓ | ⏱: 1.78s 
[SCRAPE].. ◆ https://www.invicta.fr/pt/contacto/                                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invicta.fr/pt/contacto/                                                                  | ✓ | ⏱: 1.80s 
[FETCH]... ↓ https://www.invictastores.eu/contact                                                                 | ✓ | ⏱: 3.47s 
[SCRAPE].. ◆ https://www.invictastores.eu/contact                                                                 | ✓ | ⏱: 0.15s 
[COMPLETE] ● https://www.invictastores.eu/contact                                                                 | ✓ | ⏱: 5.54s 
[FETCH]... ↓ https://www.invictacap.com/sourcing-support.html                                                     | ✓ | ⏱: 5.60s 
[SCRAPE].. ◆ https://www.invictacap.com/sourcing-support.html                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invictacap.com/sourcing-support.html                                                     | ✓ | ⏱: 7.26s 
[FETCH]... ↓ https://www.invictasourcing.com/about-us/                                                            | ✓ | ⏱: 5.10s 
[SCRAPE].. ◆ https://www.invictasourcing.com/about-us/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.invictasourcing.com/about-us/                                                            | ✓ | ⏱: 7.05s 
[FETCH]... ↓ https://www.invictawatch.com/contact                                                                 | ✓ | ⏱: 5.42s 
[SCRAPE].. ◆ https://www.invictawatch.com/contact                                                                 | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.invictawatch.com/contact                                                                 | ✓ | ⏱: 7.44s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://leadiq.com/c/invicta-solutions-group/5e8a197b03157faf17013442/employee-directory             | ✓ | ⏱: 1.68s 
[SCRAPE].. ◆ https://leadiq.com/c/invicta-solutions-group/5e8a197b03157faf17013442/employee-directory             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://leadiq.com/c/invicta-solutions-group/5e8a197b03157faf17013442/employee-directory             | ✓ | ⏱: 1.71s 
[FETCH]... ↓ https://www.zoominfo.com/pic/invicta-watch-group/26640615                                            | ✓ | ⏱: 0.92s 
[SCRAPE].. ◆ https://www.zoominfo.com/pic/invicta-watch-group/26640615                                            | ✓ | ⏱: 0.00s 
[ERROR]... × https://www.zoominfo.co...ta-watch-group/26640615  | Error: Blocked by anti-bot protection: PerimeterX block 
[COMPLETE] ● https://www.zoominfo.com/pic/invicta-watch-group/26640615                                            | ✗ | ⏱: 1.55s 
[FETCH]... ↓ https://rocketreach.co/invicta-electric-sales-department_b43bf86ac1961063                            | ✓ | ⏱: 3.60s 
[SCRAPE].. ◆ https://rocketreach.co/invicta-electric-sales-department_b43bf86ac1961063                            | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://rocketreach.co/invicta-electric-sales-department_b43bf86ac1961063                            | ✓ | ⏱: 3.62s 
[FETCH]... ↓ https://www.invicta.fr/en/produit/lodi-8-wi-fi-air-tight-pellet-stove-pellet-stove/                  | ✓ | ⏱: 4.73s 
[SCRAPE].. ◆ https://www.invicta.fr/en/produit/lodi-8-wi-fi-air-tight-pellet-stove-pellet-stove/                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.invicta.fr/en/produit/lodi-8-wi-fi-air-tight-pellet-stove-pellet-stove/                  | ✓ | ⏱: 4.76s 
[FETCH]... ↓ https://www.invicta.fr/en/produit/mira-8-wi-fi-airtight-pellet-stove/                                | ✓ | ⏱: 4.38s 
[SCRAPE].. ◆ https://www.invicta.fr/en/produit/mira-8-wi-fi-airtight-pellet-stove/                                | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.invicta.fr/en/produit/mira-8-wi-fi-airtight-pellet-stove/                                | ✓ | ⏱: 4.40s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/invicta-af515804a968.json
