[COMPLETE] ● https://www.schott.com/en-gb/about-us/company                                                        | ✓ | ⏱: 2.52s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/references                                                     | ✓ | ⏱: 2.52s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/references                                                     | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/references                                                     | ✓ | ⏱: 2.56s 
[FETCH]... ↓ https://www.schott.com/en-gb/about-us/company/annual-report                                          | ✓ | ⏱: 2.55s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/about-us/company/annual-report                                          | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/about-us/company/annual-report                                          | ✓ | ⏱: 2.59s 
[FETCH]... ↓ https://www.schott.com/en-gb/news-and-media                                                          | ✓ | ⏱: 1.08s 
[SCRAPE].. ◆ https://www.schott.com/en-gb/news-and-media                                                          | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.schott.com/en-gb/news-and-media                                                          | ✓ | ⏱: 1.12s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/schott-8f29c841aa02.json
